recording,evar_FA_mean,evar_FA_median,evar_n_hits_mean,evar_n_hits_median,evar_max_hits_mean,evar_max_hits_median,evar_HR_mean,evar_HR_median,evar_trial_idx_mean,evar_trial_idx_median,cond_,set_Easy,set_Hard,set_Medium,epoch_set,trial_mean
"cS18_b1_b2_b3_b4_b5_b6",0.1,0,2.55,3,2.55,3,1,1,34.7,33,1,0,1,0,"Hard",467.726
"cS19_b1_b2_b3_b4_b5_b6",0,0,2.3913,2,2.3913,2,1,1,35.5652,35,1,1,0,0,"Easy",-678.7137
"cS19_b1_b2_b3_b4_b5_b6",0.38462,0,2.6923,3,2.6923,3,1,1,37.7692,39,1,0,0,1,"Medium",-199.6604
"cS19_b1_b2_b3_b4_b5_b6",0.55556,1,2.6667,3,2.6667,3,1,1,37.3333,43,1,0,1,0,"Hard",-126.7303
"cS20_b1_b2_b3_b4_b5_b6",0.28571,0,2.4762,2,2.4762,2,1,1,36.0952,37,1,1,0,0,"Easy",-569.4891
"cS20_b1_b2_b3_b4_b5_b6",0.35714,0,2.5714,3,2.5714,3,1,1,33.0714,30.5,1,0,0,1,"Medium",-194.2115
"cS20_b1_b2_b3_b4_b5_b6",0.5,0.5,2.5,2.5,2.5,2.5,1,1,30.3333,26.5,1,0,1,0,"Hard",170.675
"cS21_b1_b2_b3_b4_b5_b6",0,0,2.4348,2,2.4348,2,1,1,36.0435,34,1,1,0,0,"Easy",573.1343
"cS21_b1_b2_b3_b4_b5_b6",0,0,2.5,2.5,2.5,2.5,1,1,37.25,37.5,1,0,0,1,"Medium",405.5704
"cS21_b1_b2_b3_b4_b5_b6",0.15789,0,2.2632,2,2.2632,2,1,1,29.9474,30,1,0,1,0,"Hard",506.0053
"cS22_b1_b2_b3_b4_b5_b6",0,0,2.4783,2,2.4783,2,1,1,38.6522,39,1,1,0,0,"Easy",-132.4444
"cS22_b1_b2_b3_b4_b5_b6",0.05,0,2.5,2.5,2.5,2.5,1,1,36.85,37,1,0,0,1,"Medium",18.1394
"cS22_b1_b2_b3_b4_b5_b6",0.055556,0,2.4444,2,2.4444,2,1,1,34.8333,34.5,1,0,1,0,"Hard",260.7355
"cS23_b1_b2_b3_b4_b5_b6",0,0,2.25,2,2.25,2,1,1,36.5833,36,1,1,0,0,"Easy",-309.8385
"cS23_b1_b2_b3_b4_b5_b6",0.058824,0,2.4118,2,2.4118,2,1,1,31.8824,30,1,0,0,1,"Medium",-274.1902
"cS23_b1_b2_b3_b4_b5_b6",0,0,2.5556,3,2.5556,3,1,1,32.3333,26,1,0,1,0,"Hard",-154.6244
"cS24_b1_b2_b3_b4_b5_b6",0,0,2.3182,2,2.3182,2,1,1,36.0455,36,1,1,0,0,"Easy",-94.6548
"cS24_b1_b2_b3_b4_b5_b6",0.10526,0,2.6316,3,2.6316,3,1,1,36.1579,36,1,0,0,1,"Medium",-119.8758
"cS24_b1_b2_b3_b4_b5_b6",0.28571,0,2.5714,3,2.5714,3,1,1,43.1429,43,1,0,1,0,"Hard",-3.561682
"cS25_b1_b2_b3_b4_b5_b6",0.045455,0,2.3636,2,2.3636,2,1,1,39.2273,41,1,1,0,0,"Easy",-250.1563
"cS25_b1_b2_b3_b4_b5_b6",0.2,0,2.45,2,2.45,2,1,1,40.25,38.5,1,0,0,1,"Medium",22.08611
"cS25_b1_b2_b3_b4_b5_b6",0.4,0,2.4,2,2.4,2,1,1,43.8,47,1,0,1,0,"Hard",100.9035
"cS26_b1_b2_b3_b4_b5_b6",0,0,2.7619,3,2.7619,3,1,1,32.5714,35,1,1,0,0,"Easy",-330.6669
"cS26_b1_b2_b3_b4_b5_b6",0.22222,0,2.2222,2,2.2222,2,1,1,29.6667,26,1,0,0,1,"Medium",-278.3396
"cS26_b1_b2_b3_b4_b5_b6",0,0,2.4286,2,2.4286,2,1,1,25.2857,18,1,0,1,0,"Hard",-201.1453
"cS28_b1_b2_b3_b4_b5_b6",0,0,2.5417,3,2.5417,3,1,1,35.5833,36,1,1,0,0,"Easy",-295.1606
"cS28_b1_b2_b3_b4_b5_b6",0.13636,0,2.5455,3,2.5455,3,1,1,36.5455,36,1,0,0,1,"Medium",-44.82889
"cS28_b1_b2_b3_b4_b5_b6",0.33333,0,2.0833,2,2.0833,2,1,1,30.1667,30.5,1,0,1,0,"Hard",81.31428
"cS29_b1_b2_b3_b4_b5_b6",0,0,2.625,3,2.625,3,1,1,37.0833,36,1,1,0,0,"Easy",19.78517
"cS29_b1_b2_b3_b4_b5_b6",0,0,2.5,2.5,2.5,2.5,1,1,36.9583,37,1,0,0,1,"Medium",64.69401
"cS29_b1_b2_b3_b4_b5_b6",0.375,0,2.3125,2,2.3125,2,1,1,37.625,39,1,0,1,0,"Hard",149.135
"cS30_b1_b2_b3_b4_b5_b6",0,0,2.5417,3,2.5417,3,1,1,36.75,38.5,1,1,0,0,"Easy",-11.95767
"cS30_b1_b2_b3_b4_b5_b6",0.041667,0,2.4167,2,2.4167,2,1,1,36.7083,37.5,1,0,0,1,"Medium",102.5443
"cS30_b1_b2_b3_b4_b5_b6",0.125,0,2.3333,2,2.3333,2,1,1,36.0417,35.5,1,0,1,0,"Hard",104.8599
"cS31_b1_b2_b3_b4_b5_b6",0,0,2.619,3,2.619,3,1,1,35.2381,35,1,1,0,0,"Easy",-311.5437
"cS31_b1_b2_b3_b4_b5_b6",0.2,0,2.65,3,2.65,3,1,1,37.55,37.5,1,0,0,1,"Medium",227.9567
"cS31_b1_b2_b3_b4_b5_b6",0.27273,0,2.1818,2,2.1818,2,1,1,45.0909,47,1,0,1,0,"Hard",53.17609
"cS32_b1_b2_b3_b4_b5_b6",0,0,2.5714,3,2.5714,3,1,1,35.7143,31,1,1,0,0,"Easy",-440.5533
"cS32_b1_b2_b3_b4_b5_b6",0.14286,0,2.4762,2,2.4762,2,1,1,37.0952,36,1,0,0,1,"Medium",202.7637
"cS32_b1_b2_b3_b4_b5_b6",0.125,0,2.875,3,2.875,3,1,1,38.5,41,1,0,1,0,"Hard",-74.61348
"cS33_b1_b2_b3_b4_b5_b6",0.043478,0,2.5217,3,2.5217,3,1,1,35.8261,33,1,1,0,0,"Easy",12.53301
"cS33_b1_b2_b3_b4_b5_b6",0.095238,0,2.381,2,2.381,2,1,1,36.7143,37,1,0,0,1,"Medium",-29.37717
"cS33_b1_b2_b3_b4_b5_b6",0.3,0,2.5,2.5,2.5,2.5,1,1,31.7,32,1,0,1,0,"Hard",-50.4859
"cS34_b1_b2_b3_b4_b5_b6",0,0,2.375,2,2.375,2,1,1,37.2917,37,1,1,0,0,"Easy",-490.879
"cS34_b1_b2_b3_b4_b5_b6",0.05,0,2.5,2.5,2.5,2.5,1,1,37.2,39,1,0,0,1,"Medium",-262.7011
"cS34_b1_b2_b3_b4_b5_b6",0.10526,0,2.3684,2,2.3684,2,1,1,38.8947,38,1,0,1,0,"Hard",-153.8115
"cS35_b1_b2_b3_b4_b5_b6",0,0,2.4783,2,2.4783,2,1,1,37.2609,39,1,1,0,0,"Easy",-309.7412
"cS35_b1_b2_b3_b4_b5_b6",0.045455,0,2.5909,3,2.5909,3,1,1,34.3636,34.5,1,0,0,1,"Medium",15.62998
"cS35_b1_b2_b3_b4_b5_b6",0.2,0,2.5333,3,2.5333,3,1,1,36.5333,42,1,0,1,0,"Hard",158.4958
