recording,evar_FA_mean,evar_FA_median,evar_n_hits_mean,evar_n_hits_median,evar_max_hits_mean,evar_max_hits_median,evar_HR_mean,evar_HR_median,evar_trial_idx_mean,evar_trial_idx_median,cond_,set_Easy,set_Hard,set_Medium,epoch_set,t1_0_0.45,t2_0.5_0.95,t3_1_1.45,t4_1.5_1.95,t5_2_2.45,t6_2.5_2.95,t7_3_3.45,t8_3.5_3.95,t9_4_4.45,t10_4.5_4.95,t11_5_5.45,t12_5.5_5.95,t13_6_6.45,t14_6.5_6.95,t15_7_7.45,t16_7.5_7.95,t17_8_8.45,t18_8.5_8.95,t19_9_9.45,t20_9.5_9.95,t21_10_10.45,t22_10.5_10.95,t23_11_11.45,t24_11.5_11.95,t25_12_12.45,t26_12.5_12.95,t27_13_13.45,t28_13.5_13.95,t29_14_14.45,t30_14.5_14.95,t31_15_15.45,t32_15.5_15.95,t33_16_16.45,t34_16.5_16.95,t35_17_17.45,t36_17.5_17.95,t37_18_18.45,t38_18.5_18.95,t39_19_19.45,t40_19.5_19.95,t41_20_20.45,t42_20.5_20.95,t43_21_21.45,t44_21.5_21.95,t45_22_22.45,t46_22.5_22.95,t47_23_23.45,t48_23.5_23.95,t49_24_24.45,t50_24.5_24.95,t51_25_25.45,t52_25.5_25.95,t53_26_26.45,t54_26.5_26.95,t55_27_27.45,t56_27.5_27.95,t57_28_28.45,t58_28.5_28.95
"cS8_b1_b2_b3_b4_b5_b6",0.15385,0,2.5385,3,2.5385,3,1,1,30.6154,22,1,0,1,0,"Hard",-76.19911,116.0839,269.6703,294.9225,218.6386,125.7019,19.55809,-1.48637,57.57729,249.3017,350.8025,449.13,514.8348,593.2247,573.5522,516.7334,492.4242,442.5477,390.7705,395.2083,470.9105,419.3199,287.6087,295.9819,350.2054,312.0871,210.3969,176.442,139.3711,129.7606,201.7957,281.8215,290.6036,262.9892,293.44312,281.31134,241.64536,234.80637,200.88333,184.35751,216.73425,249.3616,225.30859,213.65388,236.36909,171.94438,60.77181,-40.74924,9.676215,32.8973,49.75971,-28.08482,-45.14123,48.32724,70.30073,103.9893,-2.484918,-43.54392
"cS9_b1_b2_b3_b4_b5_b6",0,0,2.5217,3,2.5217,3,1,1,38.4348,42,1,1,0,0,"Easy",111.1835,152.99,198.3946,184.0049,134.735,118.6311,87.11875,1.80407,-12.13438,69.96965,108.6257,52.6147,-78.75938,-142.4895,-162.2451,-209.8584,-308.8315,-351.8834,-376.6968,-366.5446,-318.0589,-307.5824,-359.1336,-377.9667,-376.9769,-346.3036,-355.1192,-368.2182,-343.9265,-308.7261,-298.9247,-305.8412,-288.1625,-291.8748,-336.86008,-361.49619,-323.65952,-299.75317,-293.15497,-315.21796,-365.01343,-345.63971,-318.40155,-298.33807,-281.08081,-277.16522,-271.769,-256.6795,-223.5772,-227.8304,-260.7657,-242.6472,-285.4391,-333.5767,-316.393,-276.4607,-316.3115,-382.004
"cS9_b1_b2_b3_b4_b5_b6",0,0,2.2667,2,2.2667,2,1,1,41.1333,40,1,0,0,1,"Medium",29.54349,73.95865,109.7037,86.83768,6.301908,20.19678,19.86951,-0.45554,20.54956,134.7887,283.1763,334.7975,230.1715,142.3654,125.4098,92.36606,75.96169,23.15709,-19.3791,-78.02924,-130.4215,-136.1275,-168.1545,-153.9087,-179.1246,-180.4189,-188.0449,-229.3154,-302.4256,-318.3177,-333.2806,-358.5005,-324.388,-282.1141,-277.9606,-268.00287,-284.76953,-305.63345,-353.22354,-369.84424,-429.45685,-441.07135,-432.0831,-380.3801,-356.81723,-369.37164,-352.6708,-318.3562,-341.2383,-388.9278,-397.0116,-403.0241,-433.5558,-421.3726,-367.2808,-330.3156,-356.1132,-409.2975
"cS9_b1_b2_b3_b4_b5_b6",0,0,2.5,2.5,2.5,2.5,1,1,38,35.5,1,0,1,0,"Hard",-24.66538,-19.03916,38.19138,55.42222,-5.994678,-1.180583,-12.97518,-3.01032,61.06018,142.6783,275.3716,349.502,344.4745,341.1288,338.7176,326.5031,336.6078,358.6575,346.9639,326.3814,342.6617,255.9386,145.022,77.13223,-0.7297031,-2.179288,104.7675,183.3485,204.6525,224.8901,187.3602,227.6247,215.8184,176.4738,102.47605,37.465401,39.353195,62.998188,-6.0052328,-118.84259,-203.62691,-191.22079,-222.89096,-356.94781,-418.17145,-373.37607,-375.3212,-369.9379,-335.045,-252.8344,-235.9221,-310.6472,-352.4068,-360.4753,-349.7933,-280.3231,-238.7374,-274.2075
"cS10_b1_b2_b3_b4_b5_b6",0,0,2.3636,2,2.3636,2,1,1,35.6818,36.5,1,1,0,0,"Easy",-110.1217,-5.585828,62.30986,58.80006,21.52546,27.451,15.0312,1.31825,-50.7844,-3.784561,82.73347,84.13936,10.38377,-23.27915,-34.74233,-18.68291,46.60135,117.2725,132.8356,114.3482,62.7089,49.32379,95.26607,113.2619,158.4431,141.9372,86.75456,75.50586,35.86506,-14.07058,-60.78884,-39.90815,-75.28899,-91.03142,-59.570473,-33.430035,-114.41864,-168.60258,-229.75395,-175.61119,-100.82581,-120.02346,-75.219521,-43.483788,-61.004467,-121.53362,-82.79608,-67.15482,-48.64957,-37.94743,-54.74436,-43.72781,-9.6073,-27.79218,-52.07432,-68.41274,-90.99205,-106.3723
"cS10_b1_b2_b3_b4_b5_b6",0.36364,0,2.2727,2,2.2727,2,1,1,31.1818,32,1,0,0,1,"Medium",-87.54842,-22.08961,-15.44641,-40.47756,-116.5014,-121.7714,-94.06843,-0.600632,-22.1178,62.22163,190.8025,153.5147,92.65762,125.9375,126.3857,84.44862,47.61883,44.39779,-46.18424,-127.6185,-186.2459,-219.5662,-48.23612,111.0669,72.84846,45.5626,17.35394,-33.30161,-12.90375,-24.80288,-38.69171,-34.76139,23.39088,67.68046,38.956398,22.457413,39.928848,14.697586,-16.545696,-62.193054,-52.773842,-53.564747,11.388921,-4.1136951,-48.371906,-83.773422,-63.11052,-120.5205,-218.3635,-227.9333,-201.9937,-224.6111,-314.6447,-200.7883,-94.62459,-46.63942,-110.7272,-89.90285
"cS10_b1_b2_b3_b4_b5_b6",0.22222,0,2.1111,2,2.1111,2,1,1,36.1111,33,1,0,1,0,"Hard",-51.24965,-44.57101,-25.08432,18.51297,-20.30248,-18.38683,-62.22599,0.653933,19.8506,150.2105,173.2743,130.7212,126.9106,-17.92158,-64.83533,-33.62318,37.72685,135.1633,159.5198,64.89532,32.85137,142.7903,83.94977,-78.9164,-97.93668,-41.18053,159.7745,64.55402,-45.67311,-68.86803,-23.22594,-34.14432,-27.14991,-6.588509,-33.041618,-95.135094,-75.742104,17.025375,-49.809017,-19.310192,-6.5470338,-28.784704,-72.516983,26.926929,142.41252,171.86594,23.49646,4.554882,-58.34333,-5.188354,5.693733,-51.79504,29.26663,8.25683,7.908472,-25.36078,-107.3242,-157.6365
"cS11_b1_b2_b3_b4_b5_b6",0.055556,0,2.5556,3,2.5556,3,1,1,35.3333,31.5,1,1,0,0,"Easy",-36.96159,71.58154,10.1078,-9.949354,27.42669,12.52276,11.46554,0.497569,11.46702,66.4937,94.42464,41.64983,7.544917,-31.20761,-41.53095,5.1837,-8.048673,22.41047,46.62219,62.81083,89.96239,83.23109,69.19552,9.844507,-20.69899,18.25146,42.98611,86.32826,84.88722,81.31337,96.92902,104.784,64.59785,18.02226,-18.864483,-125.86317,-147.23503,-144.16115,-24.064859,40.205936,67.865211,58.114143,61.585747,34.118488,29.569281,85.527138,68.22173,-31.35196,-66.67446,-134.3002,-165.8987,-109.8967,-44.86076,-1.464958,-20.62053,-67.56544,-72.51842,-64.12984
"cS11_b1_b2_b3_b4_b5_b6",0.33333,0,2.5833,3,2.5833,3,1,1,35,33,1,0,0,1,"Medium",366.5484,249.998,138.9938,102.8324,60.47966,81.42978,57.89947,4.70531,-57.30652,-22.67202,16.752,75.98915,-20.49734,-85.27342,-65.40607,-22.06968,-7.119833,-42.47294,-115.2806,-143.1698,-144.722,-157.4818,-198.2515,-275.468,-332.0132,-294.734,-178.6995,-69.4057,-49.22569,-5.257127,24.71538,69.71287,62.12336,47.46122,-15.309708,-81.085968,-145.72514,-147.6282,-144.34941,-108.4763,-114.5388,-124.36233,-207.76871,-240.26936,-156.37247,-91.472,-125.0604,-69.75898,-79.33345,-195.4592,-282.6848,-288.6226,-284.8316,-244.8121,-212.1077,-231.6567,-271.827,-190.1127
"cS11_b1_b2_b3_b4_b5_b6",0.16667,0,2.5833,3,2.5833,3,1,1,36.5833,31.5,1,0,1,0,"Hard",47.97311,81.90312,67.52159,89.49831,123.4596,44.80196,29.18783,5.21462,-76.76846,-84.063,-66.04166,-26.57478,-38.43729,-18.80287,6.519969,-30.42437,-113.2127,-111.0397,-24.3938,9.370337,13.37491,-29.1074,-64.4259,-96.26137,-127.6913,-170.1753,-234.0777,-210.8835,-100.162,-75.55231,-79.95007,-63.46819,-110.6658,-112.6225,-89.694427,-42.658127,12.167646,36.511093,-45.992516,-63.29068,-66.414482,-92.966583,-93.288902,-104.35209,-117.61153,-94.835854,-148.6622,-204.4032,-264.952,-298.3364,-342.3486,-367.284,-366.0267,-374.9723,-402.8679,-373.4127,-425.7304,-491.1049
